registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
A T BUTLER P/L,Butler Campbellfield,VIC,Campbellfield,61 PAULSON RD,3061,2921,Waste Treatment and Disposal Services,Container reconditioning,46004471523,004471523,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004236
A.E. ASHCROFT,Ashville,QLD,Buccan,123 Hein Road,4207,0171,Poultry Farming (Meat),Meat Chicken Facility,59662535335,,,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2009/jurisdiction-facility/Q086ILB019
A.J. BAXTER PROPRIETARY LIMITED,DEALS ROAD LANDFILL,VIC,Clayton South,CNR DEALS RD & HEATHERTON RD,3169,2921,Waste Treatment and Disposal Services,Landfill,62004476519,004476519,http://www.cleanaway.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022863
A.J. BUSH & SONS (MANUFACTURES) PTY LTD,A J Bush and Sons Riverstone,NSW,Riverstone,1106 Windsor Road,2765,1111,Meat Processing,Rendering of meat/poultry co-products to produce protein meals and fats/tallow,94000058453,000058453,https://bushsproteins.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/836
A.J. BUSH & SONS (YANCO) PTY LTD,A.J. Bush & Sons Yanco,NSW,Yanco,Cudgel Street,2703,1111,Meat Processing,Livestock slaughtering - boning and rendering plant,43000420299,000420299,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2006/jurisdiction-facility/853
A2 MILK COMPANY (AUSTRALIA) PTY LTD,The A2 Milk Company (Australia) Pty Ltd,NSW,Smeaton Grange,28-34 Dunn Road,2567,1131,Milk and Cream Processing,Milk and cream processing,52125331213,,http://www.a2milk.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2016/jurisdiction-facility/1332
AAM POULTRY RATHDOWNEY PTY LTD,Rathdowney Poultry Farm,QLD,Rathdowney,4408 Boonah Rathdowney Road,4287,0171,Poultry Farming (Meat),Meat Chicken Facility,92671732380,671732380,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB026
ABAROO PTY LTD,ABAROO PTY LTD,WA,Hope Valley,65 Ashley Road,6165,0171,Poultry Farming (Meat),Chicken raising for meat production.,70008999255,,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2008/jurisdiction-facility/WA0655
ABBOTT AUSTRALASIA PTY LTD,Abbott Australasia Pty Ltd,NSW,Kurnell,Captain Cook Drive,2231,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Pharmaceutical formulation, warehousing and administration",95000180389,000180389,,2001/2002,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2002/jurisdiction-facility/534
ABM PLASTICS (AUST) P/L,ABM PLASTICS (AUST) P/L,VIC,Braeside,56-67 TARNARD DR,3195,1611,Printing,"Flexible packaging manufacturing, printing and laminating",59005028099,005028099,http://www.abmflexibles.aust.com/,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004205
ACE WASTE PTY LTD,Ace Waste Pty Ltd,QLD,Willawong,491 Gooderham Rd,4110,2921,Waste Treatment and Disposal Services,"Incineration of Medical, Pharmaceutical and Quarantine waste incineration.",79010750839,010750839,http://www.acewaste.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q015ACE001
ACI OPERATIONS PTY LTD,ACI Glass Packaging Canning Vale,WA,Canning Vale,35 BAILE RD,6155,2010,Glass and Glass Product Manufacturing,"Manufacture of glass by combining and melting raw materials such as sand soda ash and recycled glass, and forming of glass into bottles and jars.",94004230326,004230326,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2004/jurisdiction-facility/WA0002
ACM PROCESSING PTY LTD,GIRGARRE,VIC,Girgarre,506 CURR RD,3624,1131,Milk and Cream Processing,Dairy processing,34622519322,622519322,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030736
ACTEW CORPORATION LTD,LOWER MOLONGLO WATER QUALITY CONTROL CENTRE - INCINERATOR,ACT,Holt,STOCKDILL DRIVE,2615,2921,Waste Treatment and Disposal Services,INCINERATION OF SEWAGE SLUDGE,86069881960,,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/ACT/year/2003/jurisdiction-facility/ACT032
ACTEWAGL,LMWQCC - Incinerator,ACT,Holt,Stockdill Drive,2615,2921,Waste Treatment and Disposal Services,Incineration of sewage sludge,86069381960,,http://www.actewagl.com.au,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/ACT/year/2001/jurisdiction-facility/ACT010
ADANI MINING PTY LTD,Carmichael Coal Mine,QLD,Belyando,Moray Carmichael Road,4721,0600,Coal Mining,Coal mining and processing,27145455205,145455205,https://www.bravus.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020BEL001
ADELAIDE BRIGHTON CEMENT LIMITED,Angaston Special Products,SA,Angaston,Stockwell Road,5353,2031,Cement and Lime Manufacturing,Cement and lime manufacturing,96007870199,007870199,http://www.adelaidebrighton.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0029
ADELAIDE BRIGHTON CEMENT LTD,Geelong Cement,VIC,Fyansford,GEELONG CEMENT HYLAND ST,3221,2031,Cement and Lime Manufacturing,"Cement Manufacturing, including grinding and pyroprocessing of limestone, storage and despatch of portland and blended cements.",96007870199,007870199,http://www.adbri.com.au,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2001/jurisdiction-facility/00004076
ADELAIDEAQUA PTY LIMITED,Adelaide Desalination Plant,SA,Lonsdale,16 Chrysler Road,5160,2811,Water Supply,Desalination plant.,30135354513,135354513,http://www.adelaideaqua.net.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0632
AGL ENERGY SALES & MARKETING LIMITED,AGL Symex Cogeneration Unit,VIC,Port Melbourne,101 BOUNDARY RD,3207,2611,Fossil Fuel Electricity Generation,Natural Gas Cogeneration Unit,18076092067,076092067,,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2013/jurisdiction-facility/00022831
AGL GAS PRODUCTION (CAMDEN) PTY LTD,AGL Ray Beddoe Treatment Plant Camden,NSW,Cawdor,Westbrook Road,2570,0700,Oil and Gas Extraction,Dehydration and compression of coal seam methane,,115063744,http://www.agl.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2007/jurisdiction-facility/944
AGL GAS STORAGE PTY LTD,Silver Springs Gasfield,QLD,Parknook,5695 Thomby Road,4417,0700,Oil and Gas Extraction,Oil and Gas Production,27009203463,009203463,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q012MOI001
AGL LOY YANG PTY LTD,AGL Loy Yang,VIC,Traralgon,BARTONS LA,3844,2611,Fossil Fuel Electricity Generation,Operation of a brown coal open cut mine and 2200 MW power station,62077985758,077985758,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004339
AGL MACQUARIE PTY LIMITED,Bayswater Power Station,NSW,Muswellbrook,New England Highway,2333,2611,Fossil Fuel Electricity Generation,Electricity generation,18167859494,167859494,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/37
AGL POWER GENERATION (MID WEST) P/L,Windimurra Power Station,WA,Mount Magnet,VANADIUM MINE VIA,6638,2611,Fossil Fuel Electricity Generation,Power generation,81085449092,085449092,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2003/jurisdiction-facility/WA0260
AGL POWER GENERATION PTY LIMITED,AGL Somerton Power Station,VIC,Somerton,40 OHERNS RD,3062,2611,Fossil Fuel Electricity Generation,Peaking Power Generation 170MW,45086586192,086586192,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00021386
AGL SA GENERATION PTY LIMITED,AGL Torrens Island Power Station,SA,Torrens Island,Via The Grand Trunkway,5960,2611,Fossil Fuel Electricity Generation,Electricity Supply - Generation Using Natural Gas & Light Fuel Oil (Diesel),84081074204,081074204,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0019
AGRIPOWER AUSTRALIA LTD,AGRIPOWER AUSTRALIA LTD,QLD,Broughton,203 Plum Tree Road,4820,1831,Fertiliser Manufacturing,Diatomaceous Earth Processing,23132823226,132823226,http://www.agripower.com.au,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q027APA001
AIR LIQUIDE AUST LTD,AIR LIQUIDE AUST LTD,VIC,Altona,631 KOROROIT CREEK RD,3018,1811,Industrial Gas Manufacturing,"Manufacture and distribution of industrial gases (Oxygen, Nitrogen, Argon and Carbon Dioxide)",57004385782,004385782,http://www.airliquide.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00007069
AIR LIQUIDE AUSTRALIA PTY LTD,Air Liquide Henderson,WA,Henderson,3 Channel Close,6166,1811,Industrial Gas Manufacturing,Manufacture of acetylene gas. Refilling industrial and medical gas cylinders.,57004385782,,https://industry.airliquide.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0522
AIRSTEP AUSTRALIA PTY LTD,AIRSTEP AUSTRALIA PTY LTD,VIC,Dandenong,20 SOUTH GIPPSLAND HWY,3175,1920,Natural Rubber Product Manufacturing,Carpet Underlay Manufacturing & Warehousing,24144967215,144967215,http://www.airstep.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004082
AIW PRINTING PTY LTD,AIW PRINTING PTY LTD,VIC,Springvale,26-30 PARSONS AV,3171,1611,Printing,"The facility operates printing presses and produces retail catalogues, magazine, newspaper inserts and advertising brochures.",35093344328,093344328,http://www.aiwprinting.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00026446
AKD NSW PTY LIMITED,AKD Gilmore Facility,NSW,Gilmore,Snowy Mountains Highway,2720,1411,Log Sawmilling,Timber preservation,38091574060,091574060,https://www.akd.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/653
AKD QUEENSLAND PTY LTD,Caboolture Sawmill,QLD,Caboolture,13 Henzell Rd,4510,1411,Log Sawmilling,Timber Sawmilling,18620713760,620713760,http://www.akd.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q039WEY001
ALBEMARLE LITHIUM PTY LTD,Kemerton Lithium Hydroxide Processing Plant,WA,Wellesley,109 Kemerton Road,6233,2139,Other Basic Non-Ferrous Metal Manufacturing,Lithium Hydroxide Processing and Production,14618095471,618095471,https://www.albemarle.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1697
ALBURY CITY COUNCIL,Albury Water Filtration Plant,NSW,Albury,Waterworks Road,2640,2811,Water Supply,Drinking Water Treatment,92965474349,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/537
ALCOA OF AUST LTD,Pinjarra Cogeneration Plant,WA,Pinjarra,LOT 252 on Plan 35963 South West Hwy,6208,2611,Fossil Fuel Electricity Generation,Power generation by combustion of gas in a turbine,93004879298,004879298,http://www.alcoa.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2007/jurisdiction-facility/WA0942
ALCOA OF AUSTRALIA LIMITED,Alcoa Anglesea Power Station,VIC,Anglesea,"POWER STATION, CAMP RD",3230,2922,Waste Remediation and Materials Recovery Services,The mining activities and electricity generation ceased in August 2015. The site has continued decommissioning works of the power station and earthmoving in the Mine.,93004879298,004879298,http://www.alcoa.com/australia/en/home.asp,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00004359
ALDUS-TRONICS PTY LTD,Foilmakers,VIC,Thomastown,21 TEMPLE DR,3074,1611,Printing,Manufacture of hot-stamp foil. This involves the application of surface coating using specialised coating equipment.,38085318494,085318494,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004173
ALICE SPRINGS TOWN COUNCIL,Alice Springs Town Council Landfill,NT,Alice Springs,COMMONAGE RD,0870,2921,Waste Treatment and Disposal Services,Landfill waste disposal,45863481471,,http://www.alicesprings.nt.gov.au/council/services/landfill.asp,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NT/year/2024/jurisdiction-facility/NT422
ALINDARE PTY. LTD.,Ararat Abattoir,VIC,Ararat,NOTT RD,3377,1111,Meat Processing,Processing sheep and goats,62062233569,062233569,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006820
ALINTA ACP PTY LTD,Cawse Cogeneration Plant,WA,Ora Banda,ORA BANDA RD,6431,2611,Fossil Fuel Electricity Generation,Cogeneration of power and steam plus desalination of borewater to manufacture desalinated process / boiler feed water.,89083692611,083692611,http://www.bbpower.net,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2011/jurisdiction-facility/WA0201
ALINTA COGENERATION (PINJARRA) PTY LTD,Pinjarra Cogeneration Plant (Alinta),WA,Pinjarra,LOT 252 on Plan 35963 South West Highway,6208,2611,Fossil Fuel Electricity Generation,Power generation by combustion of gas in a turbine,12102893309,,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2006/jurisdiction-facility/WA0944
ALINTA COGENERATION (WAGERUP) PTY LTD,Wagerup Cogeneration Plant,WA,Waroona,Willowdale Road,6215,2611,Fossil Fuel Electricity Generation,Electricity Generation,62111280614,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1051
ALINTA DEBO PTY LTD,Bairnsdale Power Station,VIC,Bairnsdale,45 POWERSTATION RD,3875,2611,Fossil Fuel Electricity Generation,Generation of electricity,66079246423,079246423,https://www.alintaenergy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00019270
ALLANS CREEK POULTRY FARM PTY LTD,Allans Creek Poultry Farm,QLD,Bromelton,75  Tilley Road,4285,0171,Poultry Farming (Meat),meat chicken farm,56648171322,648171322,,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q086ILB107
ALLEGION (AUSTRALIA) PTY LTD,Allegion Door and Access Systems - Brooklyn,VIC,Brooklyn,42 EXPORT DR ,3012,2299,Other Fabricated Metal Product Manufacturing n.e.c.,Manufacturer of Locks (Doors and Access Systems),49077898161,077898161,http://www.ausloc.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029295
ALLEN FOUNDRY COMPANY PTY LTD,Sunshine,VIC,Sunshine,3 HULETT ST,3020,2110,Iron Smelting and Steel Manufacturing,Manufacture of iron and steel castings,61004231814,004231814,http://www.allenfoundry.com.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00006629
ALLEN TAYLOR & CO LTD,Gloucester Timber Processing Plant,NSW,Gloucester,4130 Bucketts Way,2422,1413,Timber Resawing and Dressing,Hardwood timber value adding plant,39000003056,000003056,http://www.boral.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2006/jurisdiction-facility/998
ALLEN TAYLOR & COMPANY LTD,Boral Plywood,QLD,North Ipswich,Lamington Pde,4305,1493,Veneer and Plywood Manufacturing,Plywood Fabrication,39000003056,000003056,http://www.boral.com.au,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2011/jurisdiction-facility/Q039ATD001
ALLEN TAYLOR AND CO LTD,Boral Engineered Flooring Murwillumbah,NSW,Murwillumbah,148 Tweed Valley Way,2484,1413,Timber Resawing and Dressing,Hardwood Timber Value adding plant,39000003056,000003056,http://www.boral.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2007/jurisdiction-facility/1000
ALLEN TAYLOR AND COMPANY LIMITED,Boral Timber Bostobrick,NSW,Bostobrick,Muldiva Road,2453,1411,Log Sawmilling,Conversion of saw logs into green hardwood sawn timber production of woodchip from waste materials,39000030056,000030056,http://www.boral.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2006/jurisdiction-facility/827
ALLENTAYLOR AND CO LTD,Walcha Timber Processing Plant,NSW,Walcha,9 Emu Creek Road,2354,1411,Log Sawmilling,Hardwood timber saw mill,39000003056,000003056,http://www.boral.com.au,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2008/jurisdiction-facility/1001
ALLOP PTY LTD,Hegford Farm,QLD,Chambersflat,Lot 16 Daly Street,4133,0171,Poultry Farming (Meat),Meat Chicken Facility,96010511949,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB020
ALPAIR PTY LTD,Alpair Egg Production Facility Legume,NSW,Legume,Tenterfield Road,2476,0171,Poultry Farming (Meat),Egg production,61181456731,010607664,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2006/jurisdiction-facility/1041
ALPHAPHARM PTY LTD,Viatris - Carole Park,QLD,Carole Park,15 Garnet Street,4300,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Manufacture, testing and distribution of pharmaceutical products.",93002359739,002359739,http://www.viatris.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q004APL001
ALPINE SHIRE COUNCIL,Myrtleford Landfill,VIC,Myrtleford,PT C/A 6 MORRISONS LA,3737,2921,Waste Treatment and Disposal Services,Municipal solid waste landfill,14821390281,,,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00006987
ALRECO PTY LTD,Geelong Operations,VIC,Moolap,80 BUCKLEY GV,3221,2139,Other Basic Non-Ferrous Metal Manufacturing,Recycling aluminium salt slag and dross,56132731018,132731018,http://www.mhml.com.au/aluminium.asp,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2014/jurisdiction-facility/00004185
ALTONA PROPERTIES P/L,ALTONA PROPERTIES P/L,VIC,Altona,599 KOROROIT CREEK RD,3018,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Covers four months of PVC manufacturing operations and eight months of plant decommissioning.,59078616654,078616654,http://www.av.com.au,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00004158
AMANIKA PTY LTD,Burke Rd Poultry Farm,QLD,Donnybrook,66 Burke Road,4510,0171,Poultry Farming (Meat),Broiler Chicken Farm,30421283799,,,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2014/jurisdiction-facility/Q086ILB088
AMAZING INVESTMENTS PTY LTD,Carawah,QLD,Blenheim,9 Moon Road,4341,0171,Poultry Farming (Meat),Meat Chicken Facility,24167894724,167894724,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB036
AMAZING INVESTORS NOMINEES PTY. LTD.,Silky Oaks,QLD,Peak Crossing,1007 Middle Road,4306,0171,Poultry Farming (Meat),Meat Chicken Facility,80169847054,169847054,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB034
AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Amcor Flexibles Asia Pacific - Moorabbin,VIC,Moorabbin,15 KEYS RD,3189,1611,Printing,"Manufacture of flexible packaging to food, pharmaceutical and general industry",46113833748,113833748,http://www.amcor.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004077
AMCOR PACKAGING (AUST) P/L,Amcor Fibre Packaging,QLD,Bohle,806-824 INGHAM RD,4818,1521,Corrugated Paperboard and Paperboard Container Manufacturing,Production of printed corrugated boxes,55004275165,004275165,,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2001/jurisdiction-facility/Q007AMC002
AMCOR PACKAGING (AUSTRALIA) PTY LTD,Amcor Cartonboard (Petrie Mill),QLD,Petrie,965 Gympie Road,4502,1510,"Pulp, Paper and Paperboard Manufacturing",Recycling of waste paper and cardboard. Cartonboard manufacturing.,55004275165,004275165,http://www.amcor.com/,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2013/jurisdiction-facility/Q007AMC001
AMCOR PACKAGING AUSTRALIA PTY LTD,Amcor Flexibles Enfield,NSW,Enfield,94-98 Cosgrove Road,2136,1611,Printing,"Flexographic and rotogravore printing on film, paper and aluminium foil to convert reels of raw materials into packaging for the snack food, confectionary and pet food industries.",55004275165,004275165,,2004/2005,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2005/jurisdiction-facility/411
AMEROPA AUSTRALIA PTY LTD,Geelong Distribution Centre,VIC,Corio,55 HEALES RD,3214,1831,Fertiliser Manufacturing,"Fertiliser import, blending and distribution.",21009504394,009504394,http://www.impactfertilisers.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00023844
AMM POULTRY NSW PTY LTD,AMM Karinyah Poultry,NSW,Somerton,3402 Oxley Highway,2340,0171,Poultry Farming (Meat),Poultry farming (Broiler),,675061177,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1682
ANDREW KOHN PTY LTD,Andrew Kohn Pty Ltd,VIC,Dingley,9-15 REDWOOD DR,3172,1611,Printing,"Extruding, Printing and Converting of Flexible Packaging Materials",54004889605,004889605,http://www.andrewkohn.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004219
ANGLO COAL (CAPCOAL MANAGEMENT) PTY LTD,Capcoal,QLD,Middlemount,TIERI RD,4746,0600,Coal Mining,Coal mining,73010037564,010037564,http://www.angloamerican.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020CCM001
ANGLO COAL (DARTBROOK MANAGEMENT) PTY LTD,Dartbrook Coal Pty Ltd,NSW,Kayuga,Stair Street,2333,0600,Coal Mining,Underground coal mining. In Care and Maintenance.,62007377577,007377577,http://www.aqcltd.com,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2014/jurisdiction-facility/228
ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,Dawson,QLD,Moura,DAWSON HWY,4718,0600,Coal Mining,Coal mining,15006746701,006746701,http://www.angloamerican.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020PMM001
ANGLO COAL (MORANBAH NORTH MNGT) P/L,Grosvenor,QLD,Moranbah,464  Goonyella Road,4744,0600,Coal Mining,Coal mining,14069603587,069603587,http://www.angloamerican.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020GRO001
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,Tropicana Gold Mine – Process Water Supply Borefield,WA,Plumridge Lakes,375 km East NE of Kalgoorlie via the Kurnalpi-Pinjin Rd,6431,2811,Water Supply,Groundwater abstraction,42008737424,008737424,http://www.anglogoldashanti.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1494
ANI CORPORATE LIMITED,Bradken Ipswich,QLD,Karrabin,250-264 Karrabin - Rosewood Road,4306,2110,Iron Smelting and Steel Manufacturing,Engineering and Iron & Steel Foundry,13000421358,000421358,,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2001/jurisdiction-facility/Q003BRA001
ANZPAC SERVICES (AUSTRALIA) PTY LTD,ANZPAC Services Smithfield,NSW,Smithfield,32 Britton Street,2164,1611,Printing,Printing and converting of packaging,25000032164,,http://www.anzpac.com.au/,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2016/jurisdiction-facility/778
APA OPERATIONS PTY LTD,Boodarie Iron Plant Site,WA,Boodarie,Great Northern Highway,6722,2611,Fossil Fuel Electricity Generation,Electricity Generation,79123090933,123090933,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0961
APACHE ENERGY LIMITED,Legendre,WA,Via Karratha,Offshore,6714,0700,Oil and Gas Extraction,OPERATION OF AN OFFSHORE OIL RIG (OCEAN LEGEND) AND A FLOATING STORAGE AND OFFTAKE VESSEL (KARRATHA SPIRIT) FOR THE PRODUCTION OF CRUDE OIL TO EXPORT SALES CONDITION,39009301964,009301964,http://www.apachecorp.com/Operations/Stewardship/Environment.aspx,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2011/jurisdiction-facility/WA0436
APACHE ENERGY LTD,Airlie Island Operations,WA,Onslow,APACHE OPERATIONS AIRLIE ISLAND VIA,6710,0700,Oil and Gas Extraction,"Collection, treatment, storage & exporting of crude oil",39009301964,009301964,http://www.apachecorp.com/Operations/Stewardship/Environment.aspx,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2009/jurisdiction-facility/WA0209
