registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
BRADKEN RESOURCES PTY LIMITED,Acacia Ridge,QLD,Acacia Ridge,21  Activity St,4110,2121,Iron and Steel Casting,Ferrous and non-ferrous foundry,82098300988,098300988,http://www.bradken.com,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2014/jurisdiction-facility/Q003ANI004
BRAEMER POWER PROJECT PTY LTD,Braemar Power Project,QLD,Dalby,Lot 128 Grahams Road,4405,2611,Fossil Fuel Electricity Generation,Power Generation,54113386600,113386600,http://www.alintaenergy.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q019BPP001
BRAJKOVICH & SONS NO 6,Brajkovich & Sons No 6,WA,Middle Swan,Lot 8 Swan Road,6056,0171,Poultry Farming (Meat),Chicken raising for meat production,16147466385,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0579
BREMER PASTORAL COMPANY,Bremer,QLD,Lower Mt Walker,1250 Rosewood-Warrill View Road,4340,0171,Poultry Farming (Meat),Meat Chicken Facility,44011044269,011044269,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB105
BREMER PASTORAL COMPANY PTY LTD,BREMER PASTORAL COMPANY PTY LTD,QLD,Rosewood,120 Murrays Crossing Road Lower Mount Walker,4340,0171,Poultry Farming (Meat),Meat Chicken Facility,44011044269,,,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2014/jurisdiction-facility/Q086ILB025
BRIDGEPORT (COOPER BASIN) PTY LTD,Byrock Oilfield,QLD,Quilpie,Corowa Downs Station via ,4480,0700,Oil and Gas Extraction,,32163123304,163123304,http://www.bridgeport.net.au,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2017/jurisdiction-facility/Q012BEA004
BRIDGEPORT (EROMANGA) PTY LTD,Inland Oil Field PL 98,QLD,Windorah,Inland Oilfield,4481,0700,Oil and Gas Extraction,Crude Oil Production and Exploration,82148013469,148013469,http://www.bridgeport.net.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q012IOR001
BRIDGEPORT (SURAT BASIN) PTY LTD,Moonie Oil Field PL 1,QLD,Moonie,CNR GREEN RD & WHITES RD,4406,0700,Oil and Gas Extraction,Oil exploration and production,81608515939,608515939,http://www.bridgeport.net.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q012SAN007
BRIDGEWEST PERTH PHARMA PTY LTD,BridgeWest Perth Pharma (NovaCina),WA,Bentley,15 Brodie Hall Dr,6102,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Pharmaceutical manufacturing,21663385411,663385411,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0441
BRISBANE CITY COUNCIL,Acacia Road (Karawatha) Former Landfill,QLD,Karawatha,ACACIA RD,4117,2921,Waste Treatment and Disposal Services,Acacia Road Former Landfill closed in 1991,72002765795,,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2010/jurisdiction-facility/Q058BCC001
