facility_name,Emission_Weighted_Score,name_clean,tender_score_exact,matched_name,match_score,tender_score,Emission_Scaled,Tender_Scaled,Final_Score,Relevance
Visy Paper 2,38.70,visy paper 2,0.00,visy paper,100.00,2.20,0.58,0.44,0.54,High
Burra Foods Factory,38.90,burra foods factory,0.00,burra foods,100.00,2.20,0.59,0.44,0.54,High
Ecogen Jeeralang Power Station,38.00,ecogen jeeralang power station,0.00,exmouth power station,76.47,2.20,0.57,0.44,0.53,High
AUSTRALIAN TALLOW PRODUCERS PTY LTD,37.72,australian tallow producers,2.20,australian tallow producers,100.00,2.20,0.57,0.44,0.53,High
Midfield Meat Group,37.43,midfield meat group,0.00,midfield meat processing,81.25,2.20,0.56,0.44,0.53,High
Visy Board Wodonga,37.53,visy board wodonga,2.20,visy board wodonga,100.00,2.20,0.56,0.44,0.53,High
G & K O'CONNOR PTY LTD,38.15,g and k o connor,2.20,g and k o connor,100.00,2.20,0.57,0.44,0.53,High
Eureka Tiles Australia - Ballarat Manufacturing Facility,21.58,eureka tiles australia ballarat manufacturing facility,0.00,c3 australia,85.71,5.00,0.32,1.00,0.53,High
Iona Gas,37.61,iona gas,0.00,lochard energy iona operations,66.67,2.20,0.57,0.44,0.53,High
Valley Power,37.98,valley power,2.20,valley power,100.00,2.20,0.57,0.44,0.53,High
LEADING SYNTHETICS PTY LTD,37.84,leading synthetics,2.20,leading synthetics,100.00,2.20,0.57,0.44,0.53,High
Boral Quarry Bacchus Marsh,49.42,boral quarry bacchus marsh,0.00,,58.82,0.00,0.74,0.00,0.52,High
Qenos Resins,36.98,qenos resins,0.00,qenos,100.00,2.22,0.56,0.44,0.52,High
Midfield Co-Products,36.14,midfield products,2.20,midfield products,100.00,2.20,0.54,0.44,0.51,High
Wodonga,35.46,wodonga,0.00,wodonga quarries,100.00,2.20,0.53,0.44,0.51,High
GIRGARRE,47.83,girgarre,0.00,,52.63,0.00,0.72,0.00,0.50,High
Brimbank,47.14,brimbank,0.00,,57.14,0.00,0.71,0.00,0.50,High
FRASER ROAD LANDFILL,47.95,fraser road landfill,0.00,,61.90,0.00,0.72,0.00,0.50,High
HUHTAMAKI FIBER FOODSERVICE PRESTON,47.62,huhtamaki fiber foodservice preston,0.00,,64.29,0.00,0.72,0.00,0.50,High
ContiTech Australia,18.05,contitech australia,5.00,contitech australia,100.00,5.00,0.27,1.00,0.49,Medium
Old Geelong Road landfill,45.47,old geelong road landfill,0.00,,59.57,0.00,0.68,0.00,0.48,Medium
Aspen Australia Dandenong,16.80,aspen australia dandenong,0.00,c3 australia,85.71,5.00,0.25,1.00,0.48,Medium
Amcor Flexibles Asia Pacific - Moorabbin,16.25,amcor flexibles asia pacific moorabbin,0.00,amcor flexibles australia,75.00,5.00,0.24,1.00,0.47,Medium
Visy Melbourne Plant,44.28,visy melbourne plant,0.00,,62.07,0.00,0.67,0.00,0.47,Medium
AIRSTEP AUSTRALIA PTY LTD,16.05,airstep australia,5.00,airstep australia,100.00,5.00,0.24,1.00,0.47,Medium
BALLARAT CITY COUNCIL,38.00,ballarat city council,0.00,hobart city council,85.00,1.12,0.57,0.22,0.47,Medium
Holden's Boiler House,38.06,holden s boiler house,0.00,gm holden,80.00,1.12,0.57,0.22,0.47,Medium
Denyer Rd Landfill,44.03,denyer rd landfill,0.00,,61.54,0.00,0.66,0.00,0.46,Medium
Dartmoor Sawmill,43.46,dartmoor sawmill,0.00,,64.52,0.00,0.65,0.00,0.46,Medium
GRAMPIANS WOOL INDUSTRIES P/L,37.39,grampians wool industries p l,1.12,grampians wool industries p l,100.00,1.12,0.56,0.22,0.46,Medium
Selkirk Pty Ltd,43.50,selkirk,0.00,,50.00,0.00,0.65,0.00,0.46,Medium
Leitchville Site,42.33,leitchville site,0.00,,57.89,0.00,0.64,0.00,0.45,Medium
CHH Morwell Sawmill,41.35,chh morwell sawmill,0.00,,64.71,0.00,0.62,0.00,0.44,Medium
Portland Landfill,28.77,portland landfill,0.00,landfill operations,72.22,2.21,0.43,0.44,0.44,Medium
Tylden Quarry,42.10,tylden quarry,0.00,,63.16,0.00,0.63,0.00,0.44,Medium
Coldstream Landfill & Waste Transfer Centre,28.93,coldstream landfill and waste transfer centre,0.00,ace waste,71.43,2.20,0.44,0.44,0.44,Medium
BAW BAW SHIRE COUNCIL,28.35,baw baw shire council,2.21,baw baw shire council,100.00,2.21,0.43,0.44,0.43,Medium
Kangaroo Ground Landfill,28.25,kangaroo ground landfill,0.00,landfill gas and power,65.22,2.20,0.42,0.44,0.43,Medium
HAMILTON LANDFILL,28.05,hamilton landfill,0.00,landfill operations,72.22,2.21,0.42,0.44,0.43,Medium
Greenham Gippsland,27.85,greenham gippsland,2.20,greenham gippsland,100.00,2.20,0.42,0.44,0.43,Medium
Kilmore Landfill,28.05,kilmore landfill,0.00,landfill gas and power,66.67,2.20,0.42,0.44,0.43,Medium
HEPBURN SHIRE COUNCIL,28.60,hepburn shire council,0.00,baw baw shire council,86.67,2.21,0.43,0.44,0.43,Medium
Koorlong Landfill,28.14,koorlong landfill,0.00,landfill operations,72.22,2.21,0.42,0.44,0.43,Medium
Corangamite Regional Landfill,28.39,corangamite regional landfill,0.00,landfill operations,66.67,2.21,0.43,0.44,0.43,Medium
Western Recycle,28.33,western recycle,0.00,western energy,68.97,2.20,0.43,0.44,0.43,Medium
CRYSTAL OCEAN FPSO,40.40,crystal ocean fpso,0.00,,60.00,0.00,0.61,0.00,0.43,Medium
Foster Landfill,28.49,foster landfill,0.00,landfill operations,70.59,2.21,0.43,0.44,0.43,Medium
Esso - Crude Oil Stabilisation Plant,41.21,esso crude oil stabilisation plant,0.00,,50.00,0.00,0.62,0.00,0.43,Medium
Cobram Boilerhouse,40.85,cobram boilerhouse,0.00,,56.25,0.00,0.61,0.00,0.43,Medium
Benalla Landfill,28.17,benalla landfill,0.00,landfill gas and power,66.67,2.20,0.42,0.44,0.43,Medium
Caroma Industries Ltd,33.78,caroma industries,0.00,bis industries,83.33,1.12,0.51,0.22,0.42,Medium
Cathies Lane Landfill Site,38.68,cathies lane landfill site,0.00,,62.22,0.00,0.58,0.00,0.41,Medium
KOROIT SITE,38.92,koroit site,0.00,,51.61,0.00,0.59,0.00,0.41,Medium
Cobden,38.84,cobden,0.00,,53.33,0.00,0.58,0.00,0.41,Medium
Bacchus Marsh,39.23,bacchus marsh,0.00,,53.33,0.00,0.59,0.00,0.41,Medium
The Packaging Company,9.34,the packaging,0.00,opal packaging australia,81.82,5.00,0.14,1.00,0.40,Medium
ALTONA PROPERTIES P/L,9.50,altona properties p l,0.00,simplot australia properties,69.39,5.00,0.14,1.00,0.40,Medium
AXEDALE SANDS quarry,37.21,axedale sands quarry,0.00,,62.50,0.00,0.56,0.00,0.39,Medium
Ford - Broadmeadows Plant,37.43,ford broadmeadows plant,0.00,,55.32,0.00,0.56,0.00,0.39,Medium
AIR LIQUIDE AUST LTD,8.64,air liquide aust,0.00,air liquide australia,86.49,5.00,0.13,1.00,0.39,Medium
Rockbank Quarry,22.27,rockbank quarry,0.00,quarry products,66.67,2.20,0.33,0.44,0.37,Medium
ASSA ABLOY AUSTRALIA PTY LIMITED,6.03,assa abloy australia,5.00,assa abloy australia,100.00,5.00,0.09,1.00,0.36,Medium
JOHNSON TILES P/L,34.60,johnson tiles p l,0.00,,55.17,0.00,0.52,0.00,0.36,Medium
Lilydale Lime Manufacturing Plant,19.65,lilydale lime manufacturing plant,0.00,mcneil manufacturing,78.79,2.25,0.30,0.45,0.34,Medium
CLARINDA RECYCLING,20.77,clarinda recycling,0.00,boral recycling,75.00,2.08,0.31,0.42,0.34,Medium
Bonlac Foods Camperdown,30.91,bonlac foods camperdown,0.00,,63.83,0.00,0.46,0.00,0.33,Medium
AGL Symex Cogeneration Unit,17.75,agl symex cogeneration unit,0.00,osborne cogeneration,75.00,2.20,0.27,0.44,0.32,Medium
Australian Lamb (Colac) Pty Ltd,18.03,australian lamb colac,2.20,australian lamb colac,100.00,2.20,0.27,0.44,0.32,Medium
REID BROS TIMBER PTY LTD,17.82,reid bros timber,2.20,reid bros timber,100.00,2.20,0.27,0.44,0.32,Medium
ROCLA PTY LIMITED,17.93,rocla,2.20,rocla,100.00,2.20,0.27,0.44,0.32,Medium
