rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
816,MONTORO ROOFING PTY LIMITED,34002944694,2034,9,3,2.08,2.63
817,CARTER HOLT HARVEY WOODPRODUCTS (SOUTHERN REGION) PTY LIMITED,29130911269,1411,9,3,2.08,2.63
818,GOULBURN WOOL SCOUR PTY LIMITED,83002697038,1311,9,3,2.08,2.63
819,HANNANPRINT VICTORIA PTY LIMITED,29100817712,1611,9,3,2.08,2.63
820,HYNE AND SON PTY LIMITED,67009660995,1499,9,3,2.08,2.63
821,INOVA PHARMACEUTICALS PTY LIMITED,88000222408,1841,9,3,2.08,2.63
822,INTERCAST & FORGE PTY LIMITED,28090515334,2121,9,3,2.08,2.63
823,MICHELL WOOL PTY LIMITED,11165515604,1311,9,3,2.08,2.63
824,OFFSET ALPINE PRINTING PTY LIMITED,66003094602,1611,9,3,2.08,2.63
825,ONESTEEL TRADING PTY LIMITED,50007519646,2299,9,3,2.08,2.63
826,PGH BRICKS & PAVERS PTY LIMITED,68168794821,2021,9,3,2.08,2.63
827,PORT KEMBLA MILLING PTY LIMITED,95155129383,2031,9,3,2.08,2.63
828,PROBIOTEC PHARMA PTY LIMITED,78076755354,1841,9,3,2.08,2.63
829,VISY BOARD PROPRIETARY LIMITED,58005787913,1521,9,3,2.08,2.63
830,WINGHAM BEEF EXPORTS PTY LIMITED,19002954789,1111,9,3,2.08,2.63
831,YOLARNO PTY LIMITED,42056599163,1111,9,3,2.08,2.63
832,CARL ZEISS VISION AUST HOLDINGS LTD,47007719708,2411,7,3,1.84,2.54
833,BALHAN INDUSTRIAL CO. PROPRIETARY LIMITED,93004705435,1831,5,3,1.6,2.44
834,COLOURS AND CHEMICALS PROPRIETARY LIMITED,81004274024,1821,5,3,1.6,2.44
835,CSF PROTEINS PROPRIETARY LIMITED,77000499918,1111,5,3,1.6,2.44
836,EGO PHARMACEUTICALS PROPRIETARY LIMITED,86005142361,1841,5,3,1.6,2.44
837,ENSIGN LABORATORIES PROPRIETARY LIMITED,11004395242,1841,5,3,1.6,2.44
838,FISHERS (LATROBE VALLEY) PROPRIETARY LIMITED,68005586694,1413,5,3,1.6,2.44
839,H. W. GREENHAM & SONS PROPRIETARY LIMITED,26054461415,1111,5,3,1.6,2.44
840,J FURPHY & SONS PROPRIETARY LIMITED,21004156763,2221,5,3,1.6,2.44
841,MCKECHNIE IRON FOUNDRY PROPRIETARY LIMITED,20007541317,2121,5,3,1.6,2.44
842,NORCO CO-OPERATIVE LIMITED,17009717417,1131,5,3,1.6,2.44
843,PHILLIPS BRICKS & POTTERY PROPRIETARY LIMITED,28004549213,2021,5,3,1.6,2.44
844,PORTLAND PINE PRODUCTS PROPRIETARY LIMITED,90004485992,1411,5,3,1.6,2.44
845,CEMENT AUST HOLDINGS P/L,99001085561,2031,4,3,1.48,2.39
846,VEEM LTD,51008944009,2139,3,3,1.36,2.34
847,ALLENTAYLOR AND CO LTD,39000003056,1411,2,3,1.24,2.3
848,ALLEN TAYLOR AND COMPANY LIMITED,39000030056,1411,2,3,1.24,2.3
849,CSL LIMITED,99051588348,1841,2,3,1.24,2.3
850,MONIER PGH HOLDINGS LTD,55008631356,2029,2,3,1.24,2.3
851,ELGAS LIMITED,85002749260,1811,2,3,1.24,2.3
852,KILCOY PASTORAL COMPANY LTD,89009671112,1111,2,3,1.24,2.3
853,STANBROKE BEEF AUSTRALIA,51109533535,1111,2,3,1.24,2.3
854,TASMAN GROUP SERVICES P/L,65005062082,1111,2,3,1.24,2.3
855,BLUESCOPE STEEL LIMITED,16000011058,2110,1,3,1.12,2.25
856,CAMPBELL BROTHERS LIMITED,92009657489,1821,1,3,1.12,2.25
857,CANNON HILL INVESTMENTS P/L,15079436187,1111,1,3,1.12,2.25
858,CSBP LIMITED,81008668371,1831,1,3,1.12,2.25
859,GAINSBOROUGH HARDWARE INDUSTRIES LIMITED,25004792269,2299,1,3,1.12,2.25
860,GM HOLDEN LTD,84006893232,2311,1,3,1.12,2.25
861,GRAMPIANS WOOL INDUSTRIES P/L,30006822082,1311,1,3,1.12,2.25
862,NORTHERN CO-OPERATIVE MEAT COMPANY LIMITED,42060208366,1111,1,3,1.12,2.25
863,NUPLEX INDUSTRIES (AUST) P/L,25000045572,1821,1,3,1.12,2.25
864,QUEENSCO-UNITY DAIRYFOODS CO-OP ASS LTD,16056658176,1131,1,3,1.12,2.25
865,WESTERN AUSTRALIAN MEAT MARKETING CO-OPERATIVE LIMITED,54048449698,1111,1,3,1.12,2.25
