rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
575,WEIR MINERALS AUSTRALIA LTD,69009701802,2121,376,3,3.38,3.15
576,DOAC PTY LTD,45098700040,1411,122,3,2.89,2.96
577,FRCPA PTY LTD,64605089941,2034,27,3,2.55,2.82
578,MIDFIELD PROTEIN SOLUTIONS PTY LTD,76619284883,1111,462,3,2.49,2.8
579,TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,64009686097,2311,155,3,2.45,2.78
580,FORD MOTOR COMPANY OF AUSTRALIA LIMITED,30004116223,2311,99,3,2.43,2.77
581,H.J. HEINZ COMPANY AUSTRALIA LIMITED,87004200319,1111,99,3,2.43,2.77
582,NORSKE SKOG PAPER MILLS (AUSTRALIA) LIMITED,84009477132,1510,97,3,2.43,2.77
583,NOTE PRINTING AUSTRALIA LIMITED,86082630671,1611,98,3,2.43,2.77
584,AUSTRALIAN MEAT GROUP PTY LTD,75168396316,1111,307,3,2.37,2.75
585,CA GROUP AUSTRALASIA PTY LTD,83005084097,2110,330,3,2.37,2.75
586,CSIRO,41687119230,6910,412,3,2.38,2.75
587,GLNG OPERATIONS PTY LTD,66132321192,1811,159,3,2.38,2.75
588,IMSEP PTY LTD,42008656488,1611,30,3,2.27,2.71
589,MAYNE PHARMA INTERNATIONAL PTY LTD,88007870984,1841,487,3,2.28,2.71
590,THE TRUSTEE FOR FLETCHER UNIT TRUST,50878814356,1111,493,3,2.28,2.71
591,FLETCHER INTERNATIONAL EXPORTS PTY LTD,64003213652,1111,483,3,2.26,2.7
592,HARVEY INDUSTRIES GROUP PTY LTD,64117597985,1111,138,3,2.25,2.7
593,LABELMAKERS GROUP PTY LTD,41114717814,1911,94,3,2.25,2.7
594,MCNEIL MANUFACTURING PTY LTD,50008422348,1841,51,3,2.25,2.7
595,MORGAN CEMENT INTERNATIONAL PTY LTD,29075095822,2031,483,3,2.26,2.7
